Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
LUNG_ANTIMONY_TRIOXIDE_4	819	0.733	764.164	93.305%	29.849	68.21%	0.7885
LUNG_ANTIMONY_TRIOXIDE_5	1365	0.754	1093.798	80.132%	43.171	66.12%	0.631
LUNG_NICKEL_SUBSULFIDE_3	863	0.744	797.063	92.36%	31.474	66.815%	0.7736
LUNG_ISOBUTYL_NITRITE_6	1076	0.754	888.124	82.539%	34.191	66.269%	0.6366
LUNG_COBALT_3	1880	0.836	1236.894	65.792%	46.655	55.369%	0.4217
LUNG_NICKEL_SULFATE_2	981	0.767	841.891	85.82%	32.255	64.215%	0.6791
LUNG_VANADIUM_PENTOXIDE_3	1768	0.84	1151.947	65.155%	43.937	54.256%	0.4171
LUNG_ISOBUTYL_NITRITE_4	1380	0.823	1015.571	73.592%	38.857	56.824%	0.5367
LUNG_SPONTANEOUS_3	1733	0.825	1166.393	67.305%	46.376	56.569%	0.4336
LUNG_NICKEL_OXIDE_4	1378	0.825	991.187	71.929%	36.603	56.669%	0.5307
LUNG_ISOBUTYL_NITRITE_5	1077	0.681	984.318	91.394%	38.369	74.436%	0.7218
LUNG_COBALT_6	3221	0.877	1677.935	52.094%	65.307	48.6%	0.3015
LUNG_COBALT_4	2062	0.83	1366.937	66.292%	51.42	55.984%	0.4871
LUNG_NICKEL_SUBSULFIDE_1	1944	0.848	1241.051	63.84%	52.046	54.953%	0.3949
LUNG_VINYLIDENE_CHLORIDE_4	2875	0.876	1508.05	52.454%	58.358	48.402%	0.2802
LUNG_ISOBUTYL_NITRITE_2	1127	0.694	1008.377	89.474%	38.88	72.663%	0.7171
LUNG_ANTIMONY_TRIOXIDE_2	911	0.739	834.162	91.566%	32.858	67.423%	0.7529
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_6	2727	0.893	1501.656	55.066%	63.627	45.363%	0.3093
LUNG_NICKEL_SULFATE_3	712	0.747	656.858	92.255%	27.281	67.325%	0.8321
LUNG_NICKEL_SUBSULFIDE_4	1907	0.877	1178.519	61.8%	46.824	48.836%	0.4106
LUNG_SPONTANEOUS_9	1728	0.84	1150.175	66.561%	45.331	54.344%	0.4426
LUNG_SPONTANEOUS_2	615	0.667	650.343	105.747%	27.22	76.411%	1.0339
LUNG_COBALT_2	2138	0.841	1343.79	62.853%	49.958	54.502%	0.398
LUNG_SPONTANEOUS_8	1513	0.85	1025.037	67.749%	40.848	54.005%	0.4776
LUNG_SPONTANEOUS_7	1198	0.794	961.164	80.231%	38.173	60.83%	0.5933
LUNG_ISOBUTYL_NITRITE_1	1254	0.783	993.454	79.223%	38.205	62.256%	0.5807
LUNG_VANADIUM_PENTOXIDE_2	2271	0.861	1373.023	60.459%	53.681	51.734%	0.3689
LUNG_VINYLIDENE_CHLORIDE_2	969	0.762	846.963	87.406%	33.234	64.768%	0.7062
LUNG_SPONTANEOUS_5	1431	0.836	1014.778	70.914%	42.083	55.377%	0.4971
LUNG_SPONTANEOUS_6	755	0.743	708.874	93.891%	29.325	67.723%	0.8385
LUNG_NICKEL_SUBSULFIDE_2	898	0.712	829.2	92.339%	32.506	70.466%	0.7782
LUNG_NICKEL_SULFATE_1	988	0.788	836.932	84.71%	33.864	62.013%	0.6545
LUNG_NICKEL_OXIDE_3	1128	0.797	896.254	79.455%	36.036	60.55%	0.5832
LUNG_SPONTANEOUS_11	1125	0.77	961.815	85.495%	35.997	64.046%	0.6674
LUNG_COBALT_5	2236	0.839	1377.123	61.589%	52.001	55.177%	0.4035
LUNG_NICKEL_OXIDE_5	1365	0.809	1034.307	75.773%	42.323	60.283%	0.5523
LUNG_COBALT_1	1981	0.818	1320.298	66.648%	49.761	58.277%	0.4686
LUNG_ANTIMONY_TRIOXIDE_1	1409	0.816	1053.165	74.746%	43.068	59.164%	0.5679
LUNG_SPONTANEOUS_4	1309	0.809	972.433	74.288%	39.359	61.748%	0.5652
LUNG_NICKEL_SULFATE_5	1691	0.852	1137.183	67.249%	43.379	52.409%	0.4545
LUNG_SPONTANEOUS_1	1576	0.832	1093.262	69.369%	44.171	58.241%	0.5039
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_1	1176	0.778	952.182	80.968%	39.679	64.675%	0.6544
LUNG_VANADIUM_PENTOXIDE_1	2498	0.877	1471.508	58.907%	59.118	50.501%	0.3743
LUNG_VINYLIDENE_CHLORIDE_5	1857	0.833	1254.592	67.56%	49.079	55.348%	0.4378
LUNG_SPONTANEOUS_10	943	0.747	839.04	88.976%	32.39	66.631%	0.7314
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_3	1218	0.843	861.288	70.713%	34.08	54.825%	0.5239
LUNG_NICKEL_OXIDE_1	1351	0.802	1014.73	75.11%	39.012	59.849%	0.5305
LUNG_NICKEL_SULFATE_4	1031	0.772	862.564	83.663%	33.121	63.777%	0.6497
LUNG_SPONTANEOUS_12	1808	0.839	1192.241	65.943%	45.934	54.753%	0.4289
LUNG_ISOBUTYL_NITRITE_3	729	0.688	718.921	98.617%	27.911	72.872%	0.8683
KIDNEY_VINYLIDENE_CHLORIDE_4	6711	0.949	2336.743	34.82%	88.647	31.512%	0.1335
KIDNEY_VINYLIDENE_CHLORIDE_3	5980	0.957	1977.103	33.062%	80.561	29.039%	0.1211
KIDNEY_VINYLIDENE_CHLORIDE_6	7745	0.961	2455.726	31.707%	96.548	27.867%	0.1251
KIDNEY_VINYLIDENE_CHLORIDE_1	14432	0.969	3619.315	25.078%	149.164	24.922%	0.0672
KIDNEY_VINYLIDENE_CHLORIDE_2	15332	0.977	3587.164	23.397%	146.139	22.633%	0.0591
KIDNEY_VINYLIDENE_CHLORIDE_5	9540	0.97	2720.2	28.514%	104.337	24.906%	0.1006
LIVER_1,2,3_TRICHLOROPROPANE_1	12613	0.978	2865.708	22.72%	122.484	20.737%	0.054
LIVER_PRIMACLONE_2	1813	0.814	1226.943	67.675%	46.352	58.768%	0.5076
LIVER_OXAZEPAM_2	2098	0.814	1396.423	66.56%	54.276	59.533%	0.4237
LIVER_OXAZEPAM_5	1821	0.834	1229.028	67.492%	45.046	55.435%	0.4899
LIVER_ANTHRAQUINONE_2	1323	0.774	1054.048	79.671%	38.915	63.795%	0.6764
LIVER_OXAZEPAM_4	1088	0.771	889.508	81.756%	32.949	63.958%	0.6647
LIVER_DIETHANOLAMINE_1	2746	0.867	1507.576	54.901%	55.262	49.934%	0.3042
LIVER_DIETHANOLAMINE_3	1574	0.768	1209.435	76.838%	45.035	65.509%	0.5968
LIVER_CUMENE_2	1986	0.826	1309.849	65.954%	47.091	56.527%	0.4158
LIVER_1,2,3_TRICHLOROPROPANE_3	20144	0.987	3735.186	18.542%	152.54	17.646%	0.0368
LIVER_PENTABROMODIPHENYL_1	2026	0.859	1217.417	60.09%	43.42	51.357%	0.3727
LIVER_GINKGO_BILOBA_EXTRACT_3	1518	0.768	1172.565	77.244%	44.66	64.8%	0.6426
LIVER_BROMOCHLOROACETIC_ACID_4	1563	0.854	1047.636	67.027%	40.966	52.09%	0.4295
