Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
LUNG_ANTIMONY_TRIOXIDE_4	514	305	0	0	0	0
LUNG_ANTIMONY_TRIOXIDE_5	622	743	0	0	0	0
LUNG_NICKEL_SUBSULFIDE_3	492	371	0	0	0	0
LUNG_ISOBUTYL_NITRITE_6	666	0	0	0	0	410
LUNG_COBALT_3	1092	788	0	0	0	0
LUNG_NICKEL_SULFATE_2	456	525	0	0	0	0
LUNG_VANADIUM_PENTOXIDE_3	611	1157	0	0	0	0
LUNG_ISOBUTYL_NITRITE_4	853	527	0	0	0	0
LUNG_SPONTANEOUS_3	1138	0	0	0	0	595
LUNG_NICKEL_OXIDE_4	797	581	0	0	0	0
LUNG_ISOBUTYL_NITRITE_5	0	0	0	538	0	539
LUNG_COBALT_6	0	3221	0	0	0	0
LUNG_COBALT_4	0	2062	0	0	0	0
LUNG_NICKEL_SUBSULFIDE_1	1944	0	0	0	0	0
LUNG_VINYLIDENE_CHLORIDE_4	1303	0	1572	0	0	0
LUNG_ISOBUTYL_NITRITE_2	0	686	0	0	0	441
LUNG_ANTIMONY_TRIOXIDE_2	475	436	0	0	0	0
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_6	2727	0	0	0	0	0
LUNG_NICKEL_SULFATE_3	712	0	0	0	0	0
LUNG_NICKEL_SUBSULFIDE_4	1907	0	0	0	0	0
LUNG_SPONTANEOUS_9	1300	0	0	0	0	428
LUNG_SPONTANEOUS_2	615	0	0	0	0	0
LUNG_COBALT_2	690	1448	0	0	0	0
LUNG_SPONTANEOUS_8	1513	0	0	0	0	0
LUNG_SPONTANEOUS_7	673	525	0	0	0	0
LUNG_ISOBUTYL_NITRITE_1	576	678	0	0	0	0
LUNG_VANADIUM_PENTOXIDE_2	1873	0	0	0	398	0
LUNG_VINYLIDENE_CHLORIDE_2	460	509	0	0	0	0
LUNG_SPONTANEOUS_5	1431	0	0	0	0	0
LUNG_SPONTANEOUS_6	755	0	0	0	0	0
LUNG_NICKEL_SUBSULFIDE_2	398	500	0	0	0	0
LUNG_NICKEL_SULFATE_1	411	577	0	0	0	0
LUNG_NICKEL_OXIDE_3	544	584	0	0	0	0
LUNG_SPONTANEOUS_11	666	459	0	0	0	0
LUNG_COBALT_5	0	2236	0	0	0	0
LUNG_NICKEL_OXIDE_5	1365	0	0	0	0	0
