region	sample	n_muts	surveyed_length	prob	surveyed_region_length	expected	observed	sample.type
histone-H3K27ac-liver-1	KIDNEY_VINYLIDENE_CHLORIDE_1	14432	2725521370	5.29513367932243e-06	42649940	225.837133715081	90	KIDNEY_VINYLIDENE_CHLORIDE
histone-H3K27ac-liver-1	KIDNEY_VINYLIDENE_CHLORIDE_2	15332	2725521370	5.62534572972363e-06	42649940	239.920657851969	80	KIDNEY_VINYLIDENE_CHLORIDE
histone-H3K27ac-liver-1	KIDNEY_VINYLIDENE_CHLORIDE_3	5980	2725521370	2.19407562377689e-06	42649940	93.577193709547	23	KIDNEY_VINYLIDENE_CHLORIDE
histone-H3K27ac-liver-1	KIDNEY_VINYLIDENE_CHLORIDE_4	6711	2725521370	2.46228118915832e-06	42649940	105.016144980731	28	KIDNEY_VINYLIDENE_CHLORIDE
histone-H3K27ac-liver-1	KIDNEY_VINYLIDENE_CHLORIDE_5	9540	2725521370	3.50024773425277e-06	42649940	149.285355851017	48	KIDNEY_VINYLIDENE_CHLORIDE
histone-H3K27ac-liver-1	KIDNEY_VINYLIDENE_CHLORIDE_6	7745	2725521370	2.84165814484148e-06	42649940	121.196549378	48	KIDNEY_VINYLIDENE_CHLORIDE
histone-H3K27ac-liver-1	LIVER_1,2,3_TRICHLOROPROPANE_1	12613	2725521370	4.62773843523377e-06	42649940	197.372766598414	76	LIVER,2,3_TRICHLOROPROPANE
histone-H3K27ac-liver-1	LIVER_1,2,3_TRICHLOROPROPANE_2	16232	2725521370	5.95555778012484e-06	42649940	254.004181988857	168	LIVER,2,3_TRICHLOROPROPANE
histone-H3K27ac-liver-1	LIVER_1,2,3_TRICHLOROPROPANE_3	20144	2725521370	7.3908794925354e-06	42649940	315.220566903865	165	LIVER,2,3_TRICHLOROPROPANE
histone-H3K27ac-liver-1	LIVER_1,2,3_TRICHLOROPROPANE_4	4158	2725521370	1.52557967285356e-06	42649940	65.0658815124242	43	LIVER,2,3_TRICHLOROPROPANE
histone-H3K27ac-liver-1	LIVER_ANTHRAQUINONE_1	2391	2725521370	8.77263347232533e-07	42649940	37.4152291236667	21	LIVER_ANTHRAQUINONE
histone-H3K27ac-liver-1	LIVER_ANTHRAQUINONE_2	1323	2725521370	4.85411714089771e-07	42649940	20.7027804812259	9	LIVER_ANTHRAQUINONE
histone-H3K27ac-liver-1	LIVER_ANTHRAQUINONE_3	1290	2725521370	4.73303938908393e-07	42649940	20.1863845962066	11	LIVER_ANTHRAQUINONE
histone-H3K27ac-liver-1	LIVER_ANTHRAQUINONE_4	2958	2725521370	1.08529693898529e-06	42649940	46.2878493299064	21	LIVER_ANTHRAQUINONE
histone-H3K27ac-liver-1	LIVER_ANTHRAQUINONE_5	2193	2725521370	8.04616696144268e-07	42649940	34.3168538135513	15	LIVER_ANTHRAQUINONE
histone-H3K27ac-liver-1	LIVER_ANTIMONY_TRIOXIDE_1	592	2725521370	2.17206148708348e-07	42649940	9.26382921004211	5	LIVER_ANTIMONY_TRIOXIDE
histone-H3K27ac-liver-1	LIVER_ANTIMONY_TRIOXIDE_2	1530	2725521370	5.61360485682048e-07	42649940	23.9419910327102	17	LIVER_ANTIMONY_TRIOXIDE
histone-H3K27ac-liver-1	LIVER_ANTIMONY_TRIOXIDE_3	789	2725521370	2.89485897518389e-07	42649940	12.3465561600055	6	LIVER_ANTIMONY_TRIOXIDE
histone-H3K27ac-liver-1	LIVER_ANTIMONY_TRIOXIDE_4	2154	2725521370	7.9030750729355e-07	42649940	33.7065677676194	21	LIVER_ANTIMONY_TRIOXIDE
histone-H3K27ac-liver-1	LIVER_ANTIMONY_TRIOXIDE_5	2316	2725521370	8.49745676365766e-07	42649940	36.2416021122594	14	LIVER_ANTIMONY_TRIOXIDE
histone-H3K27ac-liver-1	LIVER_ANTIMONY_TRIOXIDE_6	2574	2725521370	9.44406464147445e-07	42649940	40.2788790315007	27	LIVER_ANTIMONY_TRIOXIDE
histone-H3K27ac-liver-1	LIVER_BROMOCHLOROACETIC_ACID_1	590	2725521370	2.16472344151901e-07	42649940	9.23253248973792	5	LIVER_BROMOCHLOROACETIC_ACID
histone-H3K27ac-liver-1	LIVER_BROMOCHLOROACETIC_ACID_2	3687	2725521370	1.35276869981027e-06	42649940	57.6955038807859	36	LIVER_BROMOCHLOROACETIC_ACID
histone-H3K27ac-liver-1	LIVER_BROMOCHLOROACETIC_ACID_3	2117	2725521370	7.76732122999278e-07	42649940	33.1275784419918	25	LIVER_BROMOCHLOROACETIC_ACID
histone-H3K27ac-liver-1	LIVER_BROMOCHLOROACETIC_ACID_4	1563	2725521370	5.73468260863425e-07	42649940	24.4583869177294	9	LIVER_BROMOCHLOROACETIC_ACID
histone-H3K27ac-liver-1	LIVER_BROMOCHLOROACETIC_ACID_5	1189	2725521370	4.36246808807814e-07	42649940	18.6059002208447	15	LIVER_BROMOCHLOROACETIC_ACID
histone-H3K27ac-liver-1	LIVER_COBALT_1	926	2725521370	3.39751509635017e-07	42649940	14.4903815008429	13	LIVER_COBALT
histone-H3K27ac-liver-1	LIVER_COBALT_2	2374	2725521370	8.71026008502733e-07	42649940	37.149207001081	36	LIVER_COBALT
histone-H3K27ac-liver-1	LIVER_COBALT_3	1666	2725521370	6.11259195520452e-07	42649940	26.0701680133955	17	LIVER_COBALT
histone-H3K27ac-liver-1	LIVER_COBALT_4	1535	2725521370	5.63194997073165e-07	42649940	24.0202328334707	16	LIVER_COBALT
histone-H3K27ac-liver-1	LIVER_COBALT_5	2791	2725521370	1.02402425852196e-06	42649940	43.674573184506	30	LIVER_COBALT
histone-H3K27ac-liver-1	LIVER_CUMENE_1	715	2725521370	2.62335128929846e-07	42649940	11.1885775087502	7	LIVER_CUMENE
histone-H3K27ac-liver-1	LIVER_CUMENE_2	1986	2725521370	7.28667924551991e-07	42649940	31.077643262067	22	LIVER_CUMENE
histone-H3K27ac-liver-1	LIVER_CUMENE_3	1838	2725521370	6.74366387374904e-07	42649940	28.7616859595564	11	LIVER_CUMENE
histone-H3K27ac-liver-1	LIVER_CUMENE_4	5288	2725521370	1.94017924724619e-06	42649940	82.7485284842951	41	LIVER_CUMENE
histone-H3K27ac-liver-1	LIVER_CUMENE_5	3004	2725521370	1.10217444378358e-06	42649940	47.0076738969029	32	LIVER_CUMENE
histone-H3K27ac-liver-1	LIVER_DIETHANOLAMINE_1	2746	2725521370	1.0075136560019e-06	42649940	42.9703969776616	33	LIVER_DIETHANOLAMINE
histone-H3K27ac-liver-1	LIVER_DIETHANOLAMINE_2	1012	2725521370	3.71305105562243e-07	42649940	15.8361404739233	9	LIVER_DIETHANOLAMINE
histone-H3K27ac-liver-1	LIVER_DIETHANOLAMINE_3	1574	2725521370	5.77504185923884e-07	42649940	24.6305188794025	12	LIVER_DIETHANOLAMINE
histone-H3K27ac-liver-1	LIVER_DIETHANOLAMINE_4	1805	2725521370	6.62258612193527e-07	42649940	28.2452900745372	30	LIVER_DIETHANOLAMINE
histone-H3K27ac-liver-1	LIVER_DIETHANOLAMINE_5	283	2725521370	1.03833344737268e-07	42649940	4.42848592304378	2	LIVER_DIETHANOLAMINE
histone-H3K27ac-liver-1	LIVER_FURAN_1	1593	2725521370	5.84475329210132e-07	42649940	24.9278377222924	25	LIVER_FURAN
histone-H3K27ac-liver-1	LIVER_FURAN_2	1295	2725521370	4.75138450299511e-07	42649940	20.2646263969671	23	LIVER_FURAN
histone-H3K27ac-liver-1	LIVER_FURAN_3	354	2725521370	1.2988340649114e-07	42649940	5.53951949384275	12	LIVER_FURAN
histone-H3K27ac-liver-1	LIVER_FURAN_4	2167	2725521370	7.95077236910456e-07	42649940	33.9099964495967	42	LIVER_FURAN
histone-H3K27ac-liver-1	LIVER_FURAN_5	1361	2725521370	4.99354000662266e-07	42649940	21.2974181670056	17	LIVER_FURAN
histone-H3K27ac-liver-1	LIVER_GINKGO_BILOBA_EXTRACT_1	320	2725521370	1.17408729031539e-07	42649940	5.00747524867141	6	LIVER_GINKGO_BILOBA_EXTRACT
histone-H3K27ac-liver-1	LIVER_GINKGO_BILOBA_EXTRACT_2	1814	2725521370	6.65560732697539e-07	42649940	28.3861253159061	14	LIVER_GINKGO_BILOBA_EXTRACT
histone-H3K27ac-liver-1	LIVER_GINKGO_BILOBA_EXTRACT_3	1518	2725521370	5.56957658343365e-07	42649940	23.754210710885	24	LIVER_GINKGO_BILOBA_EXTRACT
histone-H3K27ac-liver-1	LIVER_INDIUM_PHOSPHIDE_1	634	2725521370	2.32616044393737e-07	42649940	9.92106033643024	7	LIVER_INDIUM_PHOSPHIDE
histone-H3K27ac-liver-1	LIVER_INDIUM_PHOSPHIDE_2	979	2725521370	3.59197330380866e-07	42649940	15.3197445889041	11	LIVER_INDIUM_PHOSPHIDE
