Sample Names	Cluster
0	8
1	8
2	8
3	8
4	8
5	8
6	8
7	8
8	8
9	8
10	12
11	8
12	8
13	8
14	11
15	10
16	8
17	9
18	8
19	3
20	8
21	8
22	8
23	8
24	8
25	8
26	8
27	8
28	9
29	8
30	8
31	8
32	8
33	8
34	8
35	8
36	8
37	8
38	8
39	8
40	8
41	8
42	8
43	8
44	8
45	8
46	8
47	3
48	8
49	8
50	6
51	6
52	6
53	6
54	6
55	6
56	2
57	8
58	8
59	8
60	8
61	8
62	8
63	8
64	8
65	2
66	8
67	8
68	5
69	8
70	5
71	8
72	8
73	8
74	7
75	8
76	8
77	8
78	8
79	8
80	8
81	5
82	8
83	8
84	8
85	8
86	8
87	8
88	8
89	8
90	8
91	8
92	8
93	8
94	8
95	8
96	8
97	8
98	5
99	8
100	8
101	8
102	8
103	8
104	8
105	5
106	8
107	8
108	8
109	8
110	8
111	6
112	8
113	8
114	8
115	8
116	8
117	6
118	8
119	8
120	8
121	8
122	8
123	8
124	8
125	8
126	8
127	8
128	8
129	8
130	8
131	8
132	8
133	8
134	8
135	8
136	8
137	8
138	8
139	8
140	8
141	8
142	8
143	8
144	6
145	8
146	8
147	8
148	8
149	8
150	7
151	8
152	6
153	8
154	8
155	8
156	8
157	8
158	8
159	8
160	8
161	8
162	8
163	6
164	8
165	8
166	1
167	2
168	1
169	13
170	1
171	1
172	1
173	14
174	8
175	4
176	6
177	8
178	8
179	8
180	8
