Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
LUNG_ANTIMONY_TRIOXIDE_4	402	0	417	0	0	0
LUNG_ANTIMONY_TRIOXIDE_5	518	425	422	0	0	0
LUNG_NICKEL_SUBSULFIDE_3	423	0	440	0	0	0
LUNG_ISOBUTYL_NITRITE_6	424	245	230	177	0	0
LUNG_COBALT_3	776	0	798	0	0	306
LUNG_NICKEL_SULFATE_2	397	0	584	0	0	0
LUNG_VANADIUM_PENTOXIDE_3	583	0	1185	0	0	0
LUNG_ISOBUTYL_NITRITE_4	693	0	687	0	0	0
LUNG_SPONTANEOUS_3	851	478	404	0	0	0
LUNG_NICKEL_OXIDE_4	615	225	538	0	0	0
LUNG_ISOBUTYL_NITRITE_5	204	281	111	260	221	0
LUNG_COBALT_6	0	510	2711	0	0	0
LUNG_COBALT_4	390	325	1347	0	0	0
LUNG_NICKEL_SUBSULFIDE_1	1344	0	600	0	0	0
LUNG_VINYLIDENE_CHLORIDE_4	960	317	0	450	1148	0
LUNG_ISOBUTYL_NITRITE_2	277	289	383	0	178	0
LUNG_ANTIMONY_TRIOXIDE_2	361	0	550	0	0	0
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_6	2266	0	0	461	0	0
LUNG_NICKEL_SULFATE_3	494	0	218	0	0	0
LUNG_NICKEL_SUBSULFIDE_4	1369	538	0	0	0	0
LUNG_SPONTANEOUS_9	970	320	438	0	0	0
LUNG_SPONTANEOUS_2	324	0	291	0	0	0
LUNG_COBALT_2	562	356	1220	0	0	0
LUNG_SPONTANEOUS_8	1127	0	386	0	0	0
LUNG_SPONTANEOUS_7	539	0	659	0	0	0
LUNG_ISOBUTYL_NITRITE_1	477	355	422	0	0	0
LUNG_VANADIUM_PENTOXIDE_2	1301	0	466	0	0	504
LUNG_VINYLIDENE_CHLORIDE_2	396	0	573	0	0	0
LUNG_SPONTANEOUS_5	1153	0	0	0	0	278
LUNG_SPONTANEOUS_6	480	0	275	0	0	0
LUNG_NICKEL_SUBSULFIDE_2	362	0	536	0	0	0
LUNG_NICKEL_SULFATE_1	363	0	625	0	0	0
LUNG_NICKEL_OXIDE_3	460	0	668	0	0	0
LUNG_SPONTANEOUS_11	550	0	575	0	0	0
LUNG_COBALT_5	0	343	1893	0	0	0
LUNG_NICKEL_OXIDE_5	784	0	581	0	0	0
LUNG_COBALT_1	356	301	1324	0	0	0
LUNG_ANTIMONY_TRIOXIDE_1	843	0	334	0	0	232
LUNG_SPONTANEOUS_4	811	0	498	0	0	0
LUNG_NICKEL_SULFATE_5	954	0	737	0	0	0
LUNG_SPONTANEOUS_1	921	0	655	0	0	0
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_1	687	0	489	0	0	0
LUNG_VANADIUM_PENTOXIDE_1	1550	0	948	0	0	0
LUNG_VINYLIDENE_CHLORIDE_5	760	425	672	0	0	0
LUNG_SPONTANEOUS_10	507	0	436	0	0	0
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_3	785	0	433	0	0	0
LUNG_NICKEL_OXIDE_1	607	209	535	0	0	0
LUNG_NICKEL_SULFATE_4	580	257	0	194	0	0
LUNG_SPONTANEOUS_12	915	0	557	336	0	0
LUNG_ISOBUTYL_NITRITE_3	243	145	341	0	0	0
KIDNEY_VINYLIDENE_CHLORIDE_4	0	0	1684	0	5027	0
KIDNEY_VINYLIDENE_CHLORIDE_3	0	0	648	0	5332	0
KIDNEY_VINYLIDENE_CHLORIDE_6	0	0	0	1345	6400	0
KIDNEY_VINYLIDENE_CHLORIDE_1	0	2290	0	1841	10301	0
KIDNEY_VINYLIDENE_CHLORIDE_2	0	0	3302	0	12030	0
KIDNEY_VINYLIDENE_CHLORIDE_5	0	1398	0	0	8142	0
LIVER_1,2,3_TRICHLOROPROPANE_1	0	9475	0	0	3138	0
LIVER_PRIMACLONE_2	0	268	1178	367	0	0
LIVER_OXAZEPAM_2	814	0	976	0	308	0
LIVER_OXAZEPAM_5	0	270	1551	0	0	0
LIVER_ANTHRAQUINONE_2	0	0	1113	0	210	0
LIVER_OXAZEPAM_4	0	0	901	0	0	187
LIVER_DIETHANOLAMINE_1	0	491	1571	684	0	0
LIVER_DIETHANOLAMINE_3	208	286	846	234	0	0
LIVER_CUMENE_2	0	0	1135	559	292	0
LIVER_1,2,3_TRICHLOROPROPANE_3	0	13049	0	3679	3416	0
LIVER_PENTABROMODIPHENYL_1	0	432	1271	323	0	0
LIVER_GINKGO_BILOBA_EXTRACT_3	0	0	1209	309	0	0
LIVER_BROMOCHLOROACETIC_ACID_4	0	0	382	1181	0	0
LIVER_ANTHRAQUINONE_5	0	0	1840	353	0	0
LIVER_BROMOCHLOROACETIC_ACID_5	0	0	337	605	247	0
LIVER_ANTHRAQUINONE_1	0	0	1839	552	0	0
LIVER_FURAN_5	278	0	1083	0	0	0
LIVER_INDIUM_PHOSPHIDE_5	300	287	738	400	0	0
LIVER_BROMOCHLOROACETIC_ACID_1	0	103	240	247	0	0
LIVER_DIETHANOLAMINE_2	0	0	807	205	0	0
LIVER_INDIUM_PHOSPHIDE_1	0	0	504	130	0	0
LIVER_PENTABROMODIPHENYL_4	0	265	868	241	0	0
LIVER_CUMENE_1	0	0	486	229	0	0
LIVER_PENTABROMODIPHENYL_2	0	488	1323	531	0	0
LIVER_PRIMACLONE_4	0	357	1542	0	0	0
LIVER_CUMENE_4	0	0	1533	2597	1158	0
LIVER_FURAN_2	207	245	654	189	0	0
LIVER_GINKGO_BILOBA_EXTRACT_2	0	0	1488	0	326	0
LIVER_PENTABROMODIPHENYL_3	0	78	249	0	0	0
LIVER_PENTABROMODIPHENYL_5	0	0	1411	394	0	0
LIVER_PRIMACLONE_1	0	0	2532	753	0	674
LIVER_FURAN_1	321	260	792	220	0	0
LIVER_DIETHANOLAMINE_5	0	0	212	0	0	71
LIVER_DIETHANOLAMINE_4	0	0	1163	379	0	263
LIVER_FURAN_4	343	0	1359	465	0	0
LIVER_GINKGO_BILOBA_EXTRACT_1	67	0	201	0	52	0
LIVER_FURAN_3	135	121	98	0	0	0
LIVER_ANTHRAQUINONE_3	0	0	1078	212	0	0
LIVER_INDIUM_PHOSPHIDE_4	0	189	678	265	0	0
LIVER_CUMENE_5	0	0	1803	757	444	0
LIVER_PRIMACLONE_3	0	0	595	182	0	185
LIVER_INDIUM_PHOSPHIDE_3	0	95	405	86	0	0
LIVER_BROMOCHLOROACETIC_ACID_2	0	0	606	2519	562	0
LIVER_OXAZEPAM_3	0	0	967	207	0	205
LIVER_CUMENE_3	0	0	1122	437	279	0
