Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
LUNG_ANTIMONY_TRIOXIDE_4	819	0.936	266.102	32.491%	41.147	36.693%	0.1202
LUNG_ANTIMONY_TRIOXIDE_5	1365	0.91	487.927	35.746%	81.301	42.317%	0.1093
LUNG_NICKEL_SUBSULFIDE_3	863	0.934	321.713	37.278%	43.994	37.239%	0.1199
LUNG_ISOBUTYL_NITRITE_6	1076	0.958	296.384	27.545%	40.972	28.976%	0.0741
LUNG_COBALT_3	1880	0.964	448.067	23.833%	67.201	27.152%	0.0493
LUNG_NICKEL_SULFATE_2	981	0.945	331.141	33.755%	46.544	32.723%	0.117
LUNG_VANADIUM_PENTOXIDE_3	1768	0.957	508.848	28.781%	71.569	29.805%	0.0749
LUNG_ISOBUTYL_NITRITE_4	1380	0.948	433.377	31.404%	63.963	32.32%	0.1109
LUNG_SPONTANEOUS_3	1733	0.94	558.878	32.249%	84.446	35.616%	0.0883
LUNG_NICKEL_OXIDE_4	1378	0.97	335.791	24.368%	46.575	24.723%	0.069
LUNG_ISOBUTYL_NITRITE_5	1077	0.954	298.892	27.752%	42.366	29.901%	0.063
LUNG_COBALT_6	3221	0.978	691.206	21.459%	95.882	22.098%	0.0528
LUNG_COBALT_4	2062	0.978	423.397	20.533%	58.99	21.55%	0.0449
LUNG_NICKEL_SUBSULFIDE_1	1944	0.945	593.756	30.543%	97.722	34.119%	0.0938
LUNG_VINYLIDENE_CHLORIDE_4	2875	0.97	597.314	20.776%	91.252	24.48%	0.0373
LUNG_ISOBUTYL_NITRITE_2	1127	0.931	382.322	33.924%	55.126	36.709%	0.0933
LUNG_ANTIMONY_TRIOXIDE_2	911	0.943	304.94	33.473%	42.862	33.948%	0.1056
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_6	2727	0.951	803.283	29.457%	135.088	32.336%	0.0914
LUNG_NICKEL_SULFATE_3	712	0.953	218.93	30.749%	33.136	32.227%	0.0961
LUNG_NICKEL_SUBSULFIDE_4	1907	0.981	378.109	19.827%	58.115	20.477%	0.0445
LUNG_SPONTANEOUS_9	1728	0.97	414.382	23.98%	61.39	24.485%	0.0512
LUNG_SPONTANEOUS_2	615	0.899	272.109	44.245%	41.464	43.885%	0.194
LUNG_COBALT_2	2138	0.972	510.484	23.877%	67.981	24.815%	0.0543
LUNG_SPONTANEOUS_8	1513	0.972	387.061	25.582%	55.863	24.778%	0.0815
