Sample Names	Cluster
0	22
1	17
2	48
3	17
4	24
5	23
6	35
7	23
8	17
9	23
10	4
11	27
12	27
13	24
14	50
15	33
16	22
17	41
18	24
19	18
20	23
21	11
22	28
23	24
24	23
25	23
26	43
27	29
28	42
29	18
30	29
31	29
32	20
33	14
34	30
35	24
36	30
37	18
38	23
39	23
40	24
41	16
42	24
43	21
44	12
45	24
46	23
47	19
48	17
49	25
50	8
51	8
52	8
53	8
54	8
55	8
56	2
57	30
58	24
59	30
60	30
61	30
62	30
63	30
64	30
65	2
66	30
67	30
68	51
69	30
70	10
71	30
72	30
73	30
74	54
75	30
76	30
77	30
78	30
79	30
80	30
81	52
82	30
83	30
84	32
85	38
86	37
87	30
88	30
89	30
90	34
91	29
92	13
93	30
94	30
95	30
96	30
97	30
98	51
99	30
100	30
101	30
102	30
103	39
104	30
105	10
106	31
107	30
108	30
109	30
110	30
111	7
112	30
113	30
114	30
115	30
116	34
117	6
118	30
119	30
120	34
121	53
122	30
123	30
124	30
125	30
126	30
127	30
128	15
129	30
130	30
131	30
132	44
133	30
134	53
135	40
136	30
137	30
138	36
139	47
140	30
141	34
142	30
143	30
144	7
145	30
146	34
147	30
148	30
149	30
150	45
151	26
152	7
153	30
154	30
155	30
156	30
157	30
158	29
159	15
160	29
161	30
162	30
163	6
164	30
165	30
166	1
167	3
168	1
169	49
170	1
171	1
172	1
173	5
174	23
175	46
176	9
177	16
178	24
179	29
180	24
