Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
LUNG_ANTIMONY_TRIOXIDE_4	0	316	0	233	0	0	0	0	270
LUNG_ANTIMONY_TRIOXIDE_5	0	231	0	236	199	0	0	415	284
LUNG_NICKEL_SUBSULFIDE_3	0	0	0	195	0	144	238	0	286
LUNG_ISOBUTYL_NITRITE_6	0	188	0	208	180	0	0	232	268
LUNG_COBALT_3	0	723	0	0	0	0	0	311	846
LUNG_NICKEL_SULFATE_2	0	346	0	331	0	0	0	129	175
LUNG_VANADIUM_PENTOXIDE_3	0	432	0	607	0	0	463	266	0
LUNG_ISOBUTYL_NITRITE_4	0	324	0	564	0	0	0	215	277
LUNG_SPONTANEOUS_3	0	175	0	394	252	0	0	467	445
LUNG_NICKEL_OXIDE_4	0	404	0	347	0	0	0	252	375
LUNG_ISOBUTYL_NITRITE_5	239	0	0	0	235	0	167	268	168
LUNG_COBALT_6	0	1560	0	346	0	527	788	0	0
LUNG_COBALT_4	0	735	0	299	0	341	439	0	248
LUNG_NICKEL_SUBSULFIDE_1	0	616	0	0	0	0	0	0	1328
LUNG_VINYLIDENE_CHLORIDE_4	1335	620	0	0	0	0	0	0	920
LUNG_ISOBUTYL_NITRITE_2	230	299	0	283	0	0	0	315	0
LUNG_ANTIMONY_TRIOXIDE_2	0	449	0	192	0	0	0	0	270
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_6	0	0	0	0	266	0	0	433	2028
LUNG_NICKEL_SULFATE_3	0	179	0	130	0	0	0	0	403
LUNG_NICKEL_SUBSULFIDE_4	0	0	0	576	0	499	0	0	832
LUNG_SPONTANEOUS_9	0	316	0	470	0	0	0	341	601
LUNG_SPONTANEOUS_2	0	0	0	386	0	0	138	91	0
LUNG_COBALT_2	0	459	0	378	0	357	645	0	299
LUNG_SPONTANEOUS_8	0	171	0	334	0	178	0	0	830
LUNG_SPONTANEOUS_7	0	337	0	441	0	0	0	200	220
LUNG_ISOBUTYL_NITRITE_1	0	348	0	239	0	0	0	362	305
LUNG_VANADIUM_PENTOXIDE_2	0	0	0	296	0	0	521	412	1042
LUNG_VINYLIDENE_CHLORIDE_2	0	448	0	521	0	0	0	0	0
LUNG_SPONTANEOUS_5	0	0	0	0	0	168	261	0	1002
LUNG_SPONTANEOUS_6	0	0	0	335	0	144	0	0	276
LUNG_NICKEL_SUBSULFIDE_2	0	321	156	421	0	0	0	0	0
LUNG_NICKEL_SULFATE_1	0	527	0	461	0	0	0	0	0
LUNG_NICKEL_OXIDE_3	0	383	0	392	0	149	0	0	204
LUNG_SPONTANEOUS_11	132	0	0	442	0	0	210	165	176
LUNG_COBALT_5	0	1436	0	0	0	0	0	415	385
LUNG_NICKEL_OXIDE_5	0	564	0	0	0	0	0	0	801
LUNG_COBALT_1	0	1174	0	0	0	0	0	374	433
LUNG_ANTIMONY_TRIOXIDE_1	0	0	195	521	0	223	0	0	470
LUNG_SPONTANEOUS_4	0	217	0	501	0	0	0	171	420
LUNG_NICKEL_SULFATE_5	0	365	0	592	0	0	0	228	506
LUNG_SPONTANEOUS_1	0	370	222	397	0	0	0	0	587
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_1	0	0	157	648	0	0	0	174	197
LUNG_VANADIUM_PENTOXIDE_1	0	551	338	541	0	0	0	0	1068
LUNG_VINYLIDENE_CHLORIDE_5	0	411	0	706	0	459	0	0	281
LUNG_SPONTANEOUS_10	0	0	0	583	0	154	206	0	0
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_3	0	195	0	358	0	156	0	0	509
