Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
LUNG_ANTIMONY_TRIOXIDE_4	819	0.929	275.563	33.646%	44.814	39.963%	0.1367
LUNG_ANTIMONY_TRIOXIDE_5	1365	0.938	411.808	30.169%	66.636	34.684%	0.075
LUNG_NICKEL_SUBSULFIDE_3	863	0.939	279.664	32.406%	41.407	35.049%	0.0999
LUNG_ISOBUTYL_NITRITE_6	1076	0.953	299.847	27.867%	43.766	30.952%	0.0784
LUNG_COBALT_3	1880	0.977	428.993	22.819%	57.322	23.16%	0.0472
LUNG_NICKEL_SULFATE_2	981	0.961	270.609	27.585%	39.406	27.705%	0.0845
LUNG_VANADIUM_PENTOXIDE_3	1768	0.972	388.242	21.959%	57.813	24.077%	0.0505
LUNG_ISOBUTYL_NITRITE_4	1380	0.975	334.314	24.226%	46.294	23.392%	0.0711
LUNG_SPONTANEOUS_3	1733	0.964	427.782	24.684%	63.87	26.938%	0.0491
LUNG_NICKEL_OXIDE_4	1378	0.969	338.798	24.586%	48.143	25.555%	0.0854
LUNG_ISOBUTYL_NITRITE_5	1077	0.949	325.483	30.221%	44.493	31.402%	0.067
LUNG_COBALT_6	3221	0.984	561.104	17.42%	79.567	18.338%	0.0337
LUNG_COBALT_4	2062	0.982	377.493	18.307%	52.525	19.188%	0.0344
LUNG_NICKEL_SUBSULFIDE_1	1944	0.972	517.515	26.621%	72.643	25.363%	0.0877
LUNG_VINYLIDENE_CHLORIDE_4	2875	0.967	644.296	22.41%	98.227	26.351%	0.0523
LUNG_ISOBUTYL_NITRITE_2	1127	0.934	373.603	33.15%	55.022	36.64%	0.1182
LUNG_ANTIMONY_TRIOXIDE_2	911	0.946	311.601	34.204%	42.641	33.773%	0.1097
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_6	2727	0.985	506.913	18.589%	77.047	18.442%	0.0398
LUNG_NICKEL_SULFATE_3	712	0.957	227.803	31.995%	32.521	31.629%	0.1066
LUNG_NICKEL_SUBSULFIDE_4	1907	0.979	389.456	20.422%	59.519	20.972%	0.0368
LUNG_SPONTANEOUS_9	1728	0.966	436.634	25.268%	65.819	26.252%	0.0601
LUNG_SPONTANEOUS_2	615	0.956	220.401	35.838%	28.973	30.665%	0.1472
LUNG_COBALT_2	2138	0.981	397.665	18.6%	54.686	19.962%	0.0327
LUNG_SPONTANEOUS_8	1513	0.983	322.238	21.298%	43.749	19.405%	0.0598
LUNG_SPONTANEOUS_7	1198	0.976	283.611	23.674%	38.558	21.931%	0.065
LUNG_ISOBUTYL_NITRITE_1	1254	0.975	247.403	19.729%	39.625	22.146%	0.0486
LUNG_VANADIUM_PENTOXIDE_2	2271	0.977	488.459	21.509%	68.183	22.061%	0.0557
LUNG_VINYLIDENE_CHLORIDE_2	969	0.956	334.523	34.522%	45.284	31.242%	0.1529
LUNG_SPONTANEOUS_5	1431	0.976	345.166	24.121%	49.157	23.228%	0.0658
LUNG_SPONTANEOUS_6	755	0.958	236.508	31.326%	34.771	30.582%	0.1048
LUNG_NICKEL_SUBSULFIDE_2	898	0.947	299.482	33.35%	42.272	33.587%	0.1171
LUNG_NICKEL_SULFATE_1	988	0.951	324.934	32.888%	48.457	31.296%	0.1574
LUNG_NICKEL_OXIDE_3	1128	0.968	275.563	24.429%	41.941	25.056%	0.0612
LUNG_SPONTANEOUS_11	1125	0.972	276.809	24.605%	36.73	24.076%	0.065
LUNG_COBALT_5	2236	0.967	552.878	24.726%	80.062	26.737%	0.0654
LUNG_NICKEL_OXIDE_5	1365	0.973	340.951	24.978%	47.435	23.892%	0.0676
LUNG_COBALT_1	1981	0.959	535.06	27.01%	78.076	30.134%	0.0602
LUNG_ANTIMONY_TRIOXIDE_1	1409	0.961	380.782	27.025%	56.942	28.693%	0.0637
LUNG_SPONTANEOUS_4	1309	0.976	317.753	24.274%	44.875	24.347%	0.0619
LUNG_NICKEL_SULFATE_5	1691	0.976	381.366	22.553%	55.5	23.164%	0.0645
LUNG_SPONTANEOUS_1	1576	0.979	329.03	20.878%	45.116	20.614%	0.0478
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_1	1176	0.981	254.89	21.674%	36.072	19.905%	0.049
LUNG_VANADIUM_PENTOXIDE_1	2498	0.975	573.865	22.973%	78.71	22.673%	0.0535
LUNG_VINYLIDENE_CHLORIDE_5	1857	0.976	401.418	21.616%	60.582	21.746%	0.0514
LUNG_SPONTANEOUS_10	943	0.966	281.67	29.87%	39.288	28.368%	0.0883
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_3	1218	0.98	264.173	21.689%	36.54	20.842%	0.0544
LUNG_NICKEL_OXIDE_1	1351	0.972	324.203	23.997%	45.553	24.329%	0.0576
LUNG_NICKEL_SULFATE_4	1031	0.964	259.553	25.175%	38.578	27.561%	0.0625
LUNG_SPONTANEOUS_12	1808	0.974	366.902	20.293%	57.2	23.269%	0.0416
LUNG_ISOBUTYL_NITRITE_3	729	0.943	245.548	33.683%	32.352	33.757%	0.1122
KIDNEY_VINYLIDENE_CHLORIDE_4	6711	0.987	1022.585	15.237%	157.856	16.189%	0.0377
KIDNEY_VINYLIDENE_CHLORIDE_3	5980	0.991	951.796	15.916%	126.836	13.34%	0.0313
KIDNEY_VINYLIDENE_CHLORIDE_6	7745	0.993	1010.577	13.048%	145.215	12.073%	0.0321
KIDNEY_VINYLIDENE_CHLORIDE_1	14432	0.987	2464.355	17.076%	363.039	17.309%	0.0357
KIDNEY_VINYLIDENE_CHLORIDE_2	15332	0.996	1376.292	8.977%	190.166	8.399%	0.0092
KIDNEY_VINYLIDENE_CHLORIDE_5	9540	0.988	1670.324	17.509%	236.649	16.295%	0.0536
LIVER_1,2,3_TRICHLOROPROPANE_1	12613	0.994	1651.266	13.092%	245.186	11.718%	0.021
LIVER_PRIMACLONE_2	1813	0.984	336.429	18.556%	44.47	18.512%	0.042
LIVER_OXAZEPAM_2	2098	0.974	481.254	22.939%	67.973	24.296%	0.0642
LIVER_OXAZEPAM_5	1821	0.968	445.386	24.458%	66.348	26.351%	0.1075
LIVER_ANTHRAQUINONE_2	1323	0.952	413.6	31.262%	57.476	32.614%	0.1356
LIVER_OXAZEPAM_4	1088	0.965	279.971	25.733%	38.743	27.12%	0.0814
LIVER_DIETHANOLAMINE_1	2746	0.982	524.407	19.097%	70.765	19.805%	0.0429
LIVER_DIETHANOLAMINE_3	1574	0.968	389.325	24.735%	53.914	26.596%	0.0614
LIVER_CUMENE_2	1986	0.976	393.279	19.803%	56.28	22.164%	0.0454
LIVER_1,2,3_TRICHLOROPROPANE_3	20144	0.993	3022.419	15.004%	449.018	14.56%	0.0285
LIVER_PENTABROMODIPHENYL_1	2026	0.972	476.206	23.505%	65.509	24.466%	0.0575
LIVER_GINKGO_BILOBA_EXTRACT_3	1518	0.954	390.474	25.723%	61.851	31.257%	0.0873
LIVER_BROMOCHLOROACETIC_ACID_4	1563	0.968	430.354	27.534%	59.915	25.541%	0.081
LIVER_ANTHRAQUINONE_5	2193	0.971	513.794	23.429%	71.24	24.769%	0.0576
LIVER_BROMOCHLOROACETIC_ACID_5	1189	0.954	348.062	29.274%	49.494	30.717%	0.0936
LIVER_ANTHRAQUINONE_1	2391	0.977	512.993	21.455%	68.953	22.318%	0.0528
LIVER_FURAN_5	1361	0.927	470.301	34.556%	70.944	39.13%	0.1198
LIVER_INDIUM_PHOSPHIDE_5	1725	0.962	401.244	23.261%	63.177	28.422%	0.088
LIVER_BROMOCHLOROACETIC_ACID_1	590	0.922	219.141	37.143%	30.101	40.188%	0.1271
LIVER_DIETHANOLAMINE_2	1012	0.95	320.364	31.657%	43.967	33.266%	0.1026
LIVER_INDIUM_PHOSPHIDE_1	634	0.93	237.922	37.527%	31.698	37.762%	0.144
LIVER_PENTABROMODIPHENYL_4	1374	0.971	315.437	22.958%	44.614	24.967%	0.0533
LIVER_CUMENE_1	715	0.952	234.327	32.773%	30.247	31.716%	0.1254
LIVER_PENTABROMODIPHENYL_2	2342	0.981	425.272	18.158%	61.145	19.75%	0.0394
LIVER_PRIMACLONE_4	1899	0.974	429.671	22.626%	59.814	23.2%	0.0644
LIVER_CUMENE_4	5288	0.967	1202.99	22.749%	180.737	25.61%	0.0446
LIVER_FURAN_2	1295	0.969	326.643	25.223%	43.744	26.057%	0.0634
LIVER_GINKGO_BILOBA_EXTRACT_2	1814	0.957	511.997	28.225%	72.25	31.85%	0.0939
LIVER_PENTABROMODIPHENYL_3	327	0.89	151.09	46.205%	20.853	47.777%	0.2094
LIVER_PENTABROMODIPHENYL_5	1805	0.955	501.186	27.767%	71.853	30.465%	0.0942
LIVER_PRIMACLONE_1	3959	0.976	774.962	19.575%	109.956	21.658%	0.0281
LIVER_FURAN_1	1593	0.969	390.144	24.491%	53.944	26.161%	0.0553
LIVER_DIETHANOLAMINE_5	283	0.819	168.009	59.367%	24.625	60.313%	0.3126
LIVER_DIETHANOLAMINE_4	1805	0.976	379.461	21.023%	53.776	23.297%	0.0535
LIVER_FURAN_4	2167	0.979	421.499	19.451%	56.563	21.556%	0.0333
LIVER_GINKGO_BILOBA_EXTRACT_1	320	0.885	162.541	50.794%	21.111	46.995%	0.2548
LIVER_FURAN_3	354	0.908	159.696	45.112%	22.907	42.984%	0.1902
LIVER_ANTHRAQUINONE_3	1290	0.96	364.116	28.226%	48.05	29.03%	0.0847
LIVER_INDIUM_PHOSPHIDE_4	1132	0.975	250.584	22.136%	33.59	22.231%	0.0465
LIVER_CUMENE_5	3004	0.98	547.458	18.224%	76.147	20.076%	0.0373
LIVER_PRIMACLONE_3	962	0.961	255.82	26.593%	34.602	29.046%	0.0812
LIVER_INDIUM_PHOSPHIDE_3	586	0.955	178.539	30.467%	23.92	30.242%	0.1074
LIVER_BROMOCHLOROACETIC_ACID_2	3687	0.977	803.751	21.8%	122.005	22.215%	0.0608
LIVER_OXAZEPAM_3	1379	0.968	340.809	24.714%	46.263	26.603%	0.0574
